date,indicator_id,value,count,mean
2020-12-31,Z2BR,9390167.0,7,1341452.43
2020-11-30,Z2BR,9478698.0,7,1354099.71
2020-10-31,Z2BR,9546154.0,7,1363736.29
2020-09-30,Z2BR,9605405.0,7,1372200.71
2020-08-31,Z2BR,9760409.0,7,1394344.14
2020-07-31,Z2BR,9735989.0,7,1390855.57
2020-06-30,Z2BR,9758346.0,7,1394049.43
2020-05-31,Z2BR,9810579.0,7,1401511.29
2020-04-30,Z2BR,9953782.0,7,1421968.86
2020-03-31,Z2BR,9954806.0,7,1422115.14
2020-02-29,Z2BR,9972669.0,7,1424667.0
2020-01-31,Z2BR,9943886.0,7,1420555.14
2019-12-31,Z2BR,9913080.0,7,1416154.29
2019-11-30,Z2BR,9826912.0,7,1403844.57
2019-10-31,Z2BR,9762006.0,7,1394572.29
2019-09-30,Z2BR,9720898.0,7,1388699.71
2019-08-31,Z2BR,9687832.0,7,1383976.0
2019-07-31,Z2BR,9683835.0,7,1383405.0
2019-06-30,Z2BR,9610094.0,7,1372870.57
2019-05-31,Z2BR,9588331.0,7,1369761.57
2019-04-30,Z2BR,9564387.0,7,1366341.0
2019-03-31,Z2BR,9636773.0,7,1376681.86
2019-02-28,Z2BR,9669765.0,7,1381395.0
2019-01-31,Z2BR,9700852.0,7,1385836.0
2018-12-31,Z2BR,9717746.0,7,1388249.43
2018-11-30,Z2BR,9793005.0,7,1399000.71
2018-10-31,Z2BR,9831314.0,7,1404473.43
2018-09-30,Z2BR,9811161.0,7,1401594.43
2018-08-31,Z2BR,9769486.0,7,1395640.86
2018-07-31,Z2BR,9651061.0,7,1378723.0
2018-06-30,Z2BR,9553251.0,7,1364750.14
2018-05-31,Z2BR,9440284.0,7,1348612.0
2018-04-30,Z2BR,9352167.0,7,1336023.86
2018-03-31,Z2BR,9197677.0,7,1313953.86
2018-02-28,Z2BR,9026852.0,7,1289550.29
2018-01-31,Z2BR,8931699.0,7,1275957.0
2017-12-31,Z2BR,8859559.0,7,1265651.29
2017-11-30,Z2BR,8793423.0,7,1256203.29
2017-10-31,Z2BR,8723537.0,7,1246219.57
2017-09-30,Z2BR,8659485.0,7,1237069.29
2017-08-31,Z2BR,8579338.0,7,1225619.71
2017-07-31,Z2BR,8488748.0,7,1212678.29
2017-06-30,Z2BR,8411239.0,7,1201605.57
2017-05-31,Z2BR,8317138.0,7,1188162.57
2017-04-30,Z2BR,8227944.0,7,1175420.57
2017-03-31,Z2BR,8171693.0,7,1167384.71
2017-02-28,Z2BR,8179462.0,7,1168494.57
2017-01-31,Z2BR,8197750.0,7,1171107.14
2016-12-31,Z2BR,8180938.0,7,1168705.43
2016-11-30,Z2BR,8141549.0,7,1163078.43
2016-10-31,Z2BR,8073104.0,7,1153300.57
2016-09-30,Z2BR,8042394.0,7,1148913.43
2016-08-31,Z2BR,8058340.0,7,1151191.43
2016-07-31,Z2BR,8140546.0,7,1162935.14
2016-06-30,Z2BR,8221114.0,7,1174444.86
2016-05-31,Z2BR,8270658.0,7,1181522.57
2016-04-30,Z2BR,8271509.0,7,1181644.14
2016-03-31,Z2BR,8361349.0,7,1194478.43
2016-02-29,Z2BR,8382154.0,7,1197450.57
2016-01-31,Z2BR,8340482.0,7,1191497.43
2015-12-31,Z2BR,8245890.0,7,1177984.29
2015-11-30,Z2BR,8185426.0,7,1169346.57
2015-10-31,Z2BR,8150116.0,7,1164302.29
2015-09-30,Z2BR,8032852.0,7,1147550.29
2015-08-31,Z2BR,7880028.0,7,1125718.29
2015-07-31,Z2BR,7709858.0,7,1101408.29
2015-06-30,Z2BR,7566836.0,7,1080976.57
2015-05-31,Z2BR,7464540.0,7,1066362.86
2015-04-30,Z2BR,7421677.0,7,1060239.57
2015-03-31,Z2BR,7300069.0,7,1042867.0
2015-02-28,Z2BR,7194700.0,7,1027814.29
