date,indicator_id,region_id,value
2009-04-30,SRAM,395057,375000.0
2009-03-31,SRAM,395057,345000.0
2009-02-28,SRAM,395057,345000.0
2009-01-31,SRAM,395057,335000.0
2008-12-31,SRAM,395057,370500.0
2008-11-30,SRAM,395057,400000.0
2008-10-31,SRAM,395057,439900.0
2008-09-30,SRAM,395057,459000.0
2008-08-31,SRAM,395057,506500.0
2008-07-31,SRAM,395057,542641.0
2008-06-30,SRAM,395057,545000.0
2008-05-31,SRAM,395057,570000.0
2008-04-30,SRAM,395057,576000.0
2008-03-31,SRAM,395057,575000.0
2008-02-29,SRAM,395057,581000.0
