date,indicator_id,value,count,mean
2020-06-30,Z4BR,18610174.0,8,2326271.75
2020-05-31,Z4BR,18659358.0,8,2332419.75
2020-04-30,Z4BR,18909286.0,8,2363660.75
2020-03-31,Z4BR,18872774.0,8,2359096.75
2020-02-29,Z4BR,18860944.0,8,2357618.0
2020-01-31,Z4BR,18755196.0,8,2344399.5
2019-12-31,Z4BR,18635773.0,8,2329471.62
2019-11-30,Z4BR,18407006.0,8,2300875.75
2019-10-31,Z4BR,18195328.0,8,2274416.0
2019-09-30,Z4BR,18030331.0,8,2253791.38
2019-08-31,Z4BR,17924858.0,8,2240607.25
2019-07-31,Z4BR,17934809.0,8,2241851.12
2019-06-30,Z4BR,17846296.0,8,2230787.0
2019-05-31,Z4BR,17750530.0,8,2218816.25
2019-04-30,Z4BR,17635578.0,8,2204447.25
2019-03-31,Z4BR,17663168.0,8,2207896.0
2019-02-28,Z4BR,17636058.0,8,2204507.25
2019-01-31,Z4BR,17606052.0,8,2200756.5
2018-12-31,Z4BR,17564448.0,8,2195556.0
2018-11-30,Z4BR,17647188.0,8,2205898.5
2018-10-31,Z4BR,17738334.0,8,2217291.75
2018-09-30,Z4BR,17727355.0,8,2215919.38
2018-08-31,Z4BR,17613906.0,8,2201738.25
2018-07-31,Z4BR,17305025.0,8,2163128.12
2018-06-30,Z4BR,17027293.0,8,2128411.62
2018-05-31,Z4BR,16827285.0,8,2103410.62
2018-04-30,Z4BR,16653863.0,8,2081732.88
2018-03-31,Z4BR,16390216.0,8,2048777.0
2018-02-28,Z4BR,16099545.0,8,2012443.12
2018-01-31,Z4BR,15976719.0,8,1997089.88
2017-12-31,Z4BR,15882610.0,8,1985326.25
2017-11-30,Z4BR,15795053.0,8,1974381.62
2017-10-31,Z4BR,15654671.0,8,1956833.88
2017-09-30,Z4BR,15525469.0,8,1940683.62
2017-08-31,Z4BR,15416136.0,8,1927017.0
2017-07-31,Z4BR,15328954.0,8,1916119.25
2017-06-30,Z4BR,15220384.0,8,1902548.0
2017-05-31,Z4BR,15028928.0,8,1878616.0
2017-04-30,Z4BR,14837174.0,8,1854646.75
2017-03-31,Z4BR,14692635.0,8,1836579.38
2017-02-28,Z4BR,14648292.0,8,1831036.5
2017-01-31,Z4BR,14583693.0,8,1822961.62
2016-12-31,Z4BR,14505959.0,8,1813244.88
2016-11-30,Z4BR,14385302.0,8,1798162.75
2016-10-31,Z4BR,14213336.0,8,1776667.0
2016-09-30,Z4BR,14095714.0,8,1761964.25
2016-08-31,Z4BR,13978682.0,8,1747335.25
2016-07-31,Z4BR,13951821.0,8,1743977.62
2016-06-30,Z4BR,13975134.0,8,1746891.75
2016-05-31,Z4BR,13998937.0,8,1749867.12
2016-04-30,Z4BR,13980614.0,8,1747576.75
2016-03-31,Z4BR,14058270.0,8,1757283.75
2016-02-29,Z4BR,14075628.0,8,1759453.5
2016-01-31,Z4BR,14016156.0,8,1752019.5
2015-12-31,Z4BR,13870200.0,8,1733775.0
2015-11-30,Z4BR,13739373.0,8,1717421.62
2015-10-31,Z4BR,13639392.0,8,1704924.0
2015-09-30,Z4BR,13401400.0,8,1675175.0
2015-08-31,Z4BR,13184691.0,8,1648086.38
2015-07-31,Z4BR,12953640.0,8,1619205.0
2015-06-30,Z4BR,12749862.0,8,1593732.75
2015-05-31,Z4BR,12589682.0,8,1573710.25
2015-04-30,Z4BR,12506116.0,8,1563264.5
2015-03-31,Z4BR,12380837.0,8,1547604.62
2015-02-28,Z4BR,12208549.0,8,1526068.62
2015-01-31,Z4BR,12112765.0,8,1514095.62
2014-12-31,Z4BR,12042952.0,8,1505369.0
2014-11-30,Z4BR,11956672.0,8,1494584.0
2014-10-31,Z4BR,11811161.0,8,1476395.12
2014-09-30,Z4BR,11791747.0,8,1473968.38
2014-08-31,Z4BR,11796743.0,8,1474592.88
2014-07-31,Z4BR,11823886.0,8,1477985.75
2014-06-30,Z4BR,11787638.0,8,1473454.75
2014-05-31,Z4BR,11755697.0,8,1469462.12
2014-04-30,Z4BR,11673414.0,8,1459176.75
2014-03-31,Z4BR,11473626.0,8,1434203.25
2014-02-28,Z4BR,11299823.0,8,1412477.88
2014-01-31,Z4BR,11041897.0,8,1380237.12
2013-12-31,Z4BR,10885647.0,8,1360705.88
2013-11-30,Z4BR,10729457.0,8,1341182.12
2013-10-31,Z4BR,10660456.0,8,1332557.0
2013-09-30,Z4BR,10608475.0,8,1326059.38
2013-08-31,Z4BR,10534654.0,8,1316831.75
2013-07-31,Z4BR,10425861.0,8,1303232.62
2013-06-30,Z4BR,10309751.0,8,1288718.88
2013-05-31,Z4BR,10139878.0,8,1267484.75
2013-04-30,Z4BR,9950204.0,8,1243775.5
2013-03-31,Z4BR,9876406.0,8,1234550.75
2013-02-28,Z4BR,9847732.0,8,1230966.5
2013-01-31,Z4BR,9866981.0,8,1233372.62
2012-12-31,Z4BR,9772641.0,8,1221580.12
2012-11-30,Z4BR,9730710.0,8,1216338.75
2012-10-31,Z4BR,9675389.0,8,1209423.62
2012-09-30,Z4BR,9585614.0,8,1198201.75
2012-08-31,Z4BR,9454493.0,8,1181811.62
2012-07-31,Z4BR,9286615.0,8,1160826.88
2012-06-30,Z4BR,9121515.0,8,1140189.38
2012-05-31,Z4BR,8967893.0,8,1120986.62
2012-04-30,Z4BR,8889719.0,8,1111214.88
2012-03-31,Z4BR,8806325.0,8,1100790.62
2012-02-29,Z4BR,8719396.0,8,1089924.5
2012-01-31,Z4BR,8634821.0,8,1079352.62
2011-12-31,Z4BR,8599511.0,8,1074938.88
2011-11-30,Z4BR,8541680.0,8,1067710.0
2011-10-31,Z4BR,8471720.0,8,1058965.0
2011-09-30,Z4BR,8433976.0,8,1054247.0
2011-08-31,Z4BR,8414362.0,8,1051795.25
2011-07-31,Z4BR,8464627.0,8,1058078.38
2011-06-30,Z4BR,8516558.0,8,1064569.75
2011-05-31,Z4BR,8642585.0,8,1080323.12
2011-04-30,Z4BR,8691881.0,8,1086485.12
2011-03-31,Z4BR,8741637.0,8,1092704.62
2011-02-28,Z4BR,8754549.0,8,1094318.62
2011-01-31,Z4BR,8822306.0,8,1102788.25
2010-12-31,Z4BR,8874998.0,8,1109374.75
2010-11-30,Z4BR,8980442.0,8,1122555.25
2010-10-31,Z4BR,9069763.0,8,1133720.38
2010-09-30,Z4BR,9093009.0,8,1136626.12
2010-08-31,Z4BR,9093706.0,8,1136713.25
2010-07-31,Z4BR,9097835.0,8,1137229.38
2010-06-30,Z4BR,9196338.0,8,1149542.25
2010-05-31,Z4BR,9226907.0,8,1153363.38
2010-04-30,Z4BR,9281692.0,8,1160211.5
2010-03-31,Z4BR,9281536.0,8,1160192.0
2010-02-28,Z4BR,9313488.0,8,1164186.0
