region_id,region_type,region
97583,zip,94129; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
97571,zip,94117
97565,zip,94110
97578,zip,94124; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
97581,zip,94127; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
97576,zip,94122
97572,zip,94118
97585,zip,94131; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
