date,indicator_id,region_id,value
2010-06-30,ZSFH,97587,1314892.0
2010-05-31,ZSFH,97587,1311440.0
2010-04-30,ZSFH,97587,1316190.0
2010-03-31,ZSFH,97587,1318582.0
2010-02-28,ZSFH,97587,1314646.0
2010-01-31,ZSFH,97587,1297317.0
2009-12-31,ZSFH,97587,1280527.0
2009-11-30,ZSFH,97587,1264440.0
2009-10-31,ZSFH,97587,1269224.0
2009-09-30,ZSFH,97587,1278452.0
2009-08-31,ZSFH,97587,1291603.0
2009-07-31,ZSFH,97587,1307041.0
2009-06-30,ZSFH,97587,1321000.0
2009-05-31,ZSFH,97587,1342252.0
2009-04-30,ZSFH,97587,1356435.0
2009-03-31,ZSFH,97587,1363300.0
2009-02-28,ZSFH,97587,1368585.0
2009-01-31,ZSFH,97587,1370495.0
2008-12-31,ZSFH,97587,1374738.0
2008-11-30,ZSFH,97587,1377948.0
2008-10-31,ZSFH,97587,1383879.0
2008-09-30,ZSFH,97587,1387132.0
2008-08-31,ZSFH,97587,1397332.0
2008-07-31,ZSFH,97587,1405063.0
2008-06-30,ZSFH,97587,1409746.0
2008-05-31,ZSFH,97587,1407920.0
2008-04-30,ZSFH,97587,1407094.0
2008-03-31,ZSFH,97587,1413897.0
2008-02-29,ZSFH,97587,1416077.0
2008-01-31,ZSFH,97587,1427831.0
2007-12-31,ZSFH,97587,1425957.0
2007-11-30,ZSFH,97587,1429311.0
2007-10-31,ZSFH,97587,1418040.0
2007-09-30,ZSFH,97587,1413924.0
2007-08-31,ZSFH,97587,1396861.0
2007-07-31,ZSFH,97587,1382081.0
2007-06-30,ZSFH,97587,1372652.0
2007-05-31,ZSFH,97587,1361542.0
2007-04-30,ZSFH,97587,1344878.0
2007-03-31,ZSFH,97587,1324759.0
2007-02-28,ZSFH,97587,1320250.0
2007-01-31,ZSFH,97587,1319670.0
2006-12-31,ZSFH,97587,1320721.0
2006-11-30,ZSFH,97587,1310939.0
2006-10-31,ZSFH,97587,1304196.0
2006-09-30,ZSFH,97587,1299994.0
2006-08-31,ZSFH,97587,1302411.0
2006-07-31,ZSFH,97587,1298271.0
2006-06-30,ZSFH,97587,1289778.0
2006-05-31,ZSFH,97587,1293086.0
2006-04-30,ZSFH,97587,1298707.0
2006-03-31,ZSFH,97587,1319097.0
2006-02-28,ZSFH,97587,1327068.0
2006-01-31,ZSFH,97587,1340662.0
2005-12-31,ZSFH,97587,1346925.0
2005-11-30,ZSFH,97587,1358964.0
2005-10-31,ZSFH,97587,1361496.0
2005-09-30,ZSFH,97587,1358128.0
2005-08-31,ZSFH,97587,1356771.0
2005-07-31,ZSFH,97587,1370083.0
2005-06-30,ZSFH,97587,1387303.0
2005-05-31,ZSFH,97587,1379420.0
2005-04-30,ZSFH,97587,1367230.0
2005-03-31,ZSFH,97587,1341504.0
2005-02-28,ZSFH,97587,1328115.0
2005-01-31,ZSFH,97587,1303911.0
2004-12-31,ZSFH,97587,1285735.0
2004-11-30,ZSFH,97587,1264632.0
2004-10-31,ZSFH,97587,1246041.0
2004-09-30,ZSFH,97587,1224992.0
2004-08-31,ZSFH,97587,1196134.0
2004-07-31,ZSFH,97587,1167025.0
2004-06-30,ZSFH,97587,1137152.0
2004-05-31,ZSFH,97587,1125369.0
2004-04-30,ZSFH,97587,1118912.0
2004-03-31,ZSFH,97587,1119335.0
2004-02-29,ZSFH,97587,1111991.0
2004-01-31,ZSFH,97587,1103989.0
2003-12-31,ZSFH,97587,1096246.0
2003-11-30,ZSFH,97587,1095197.0
2003-10-31,ZSFH,97587,1101089.0
2003-09-30,ZSFH,97587,1111814.0
2003-08-31,ZSFH,97587,1133701.0
2003-07-31,ZSFH,97587,1148314.0
2003-06-30,ZSFH,97587,1154884.0
2003-05-31,ZSFH,97587,1146869.0
2003-04-30,ZSFH,97587,1140717.0
2003-03-31,ZSFH,97587,1125234.0
2003-02-28,ZSFH,97587,1115619.0
2003-01-31,ZSFH,97587,1100899.0
2002-12-31,ZSFH,97587,1092699.0
2002-11-30,ZSFH,97587,1072389.0
2002-10-31,ZSFH,97587,1054756.0
2002-09-30,ZSFH,97587,1042441.0
2002-08-31,ZSFH,97587,1030863.0
2002-07-31,ZSFH,97587,1017396.0
2002-06-30,ZSFH,97587,1001813.0
2002-05-31,ZSFH,97587,997332.0
