date,indicator_id,value,count,mean
2020-12-31,Z5BR,26203567.0,8,3275445.88
2020-11-30,Z5BR,26381982.0,8,3297747.75
2020-10-31,Z5BR,26535705.0,8,3316963.12
2020-09-30,Z5BR,26305150.0,8,3288143.75
2020-08-31,Z5BR,27207401.0,8,3400925.12
2020-07-31,Z5BR,27038396.0,8,3379799.5
2020-06-30,Z5BR,26771364.0,8,3346420.5
2020-05-31,Z5BR,26804982.0,8,3350622.75
2020-04-30,Z5BR,26866905.0,8,3358363.12
2020-03-31,Z5BR,26809122.0,8,3351140.25
2020-02-29,Z5BR,26740902.0,8,3342612.75
2020-01-31,Z5BR,26555201.0,8,3319400.12
2019-12-31,Z5BR,26377108.0,8,3297138.5
2019-11-30,Z5BR,26089382.0,8,3261172.75
2019-10-31,Z5BR,25785617.0,8,3223202.12
2019-09-30,Z5BR,25481541.0,8,3185192.62
2019-08-31,Z5BR,25322517.0,8,3165314.62
2019-07-31,Z5BR,25333380.0,8,3166672.5
2019-06-30,Z5BR,25196948.0,8,3149618.5
2019-05-31,Z5BR,25026266.0,8,3128283.25
2019-04-30,Z5BR,24744069.0,8,3093008.62
2019-03-31,Z5BR,24710275.0,8,3088784.38
2019-02-28,Z5BR,24640508.0,8,3080063.5
2019-01-31,Z5BR,24592710.0,8,3074088.75
2018-12-31,Z5BR,24491590.0,8,3061448.75
2018-11-30,Z5BR,24543266.0,8,3067908.25
2018-10-31,Z5BR,24565824.0,8,3070728.0
2018-09-30,Z5BR,24511157.0,8,3063894.62
2018-08-31,Z5BR,24208137.0,8,3026017.12
2018-07-31,Z5BR,23685050.0,8,2960631.25
2018-06-30,Z5BR,23255321.0,8,2906915.12
2018-05-31,Z5BR,23027080.0,8,2878385.0
2018-04-30,Z5BR,22906476.0,8,2863309.5
2018-03-31,Z5BR,22548129.0,8,2818516.12
2018-02-28,Z5BR,22169932.0,8,2771241.5
2018-01-31,Z5BR,21931151.0,8,2741393.88
2017-12-31,Z5BR,21732264.0,8,2716533.0
2017-11-30,Z5BR,21508826.0,8,2688603.25
2017-10-31,Z5BR,21353476.0,8,2669184.5
2017-09-30,Z5BR,21232915.0,8,2654114.38
2017-08-31,Z5BR,21165460.0,8,2645682.5
2017-07-31,Z5BR,21048773.0,8,2631096.62
2017-06-30,Z5BR,20948513.0,8,2618564.12
2017-05-31,Z5BR,20664200.0,8,2583025.0
2017-04-30,Z5BR,20377533.0,8,2547191.62
2017-03-31,Z5BR,20148723.0,8,2518590.38
2017-02-28,Z5BR,20097252.0,8,2512156.5
2017-01-31,Z5BR,20093565.0,8,2511695.62
2016-12-31,Z5BR,20096796.0,8,2512099.5
2016-11-30,Z5BR,20017335.0,8,2502166.88
2016-10-31,Z5BR,19850812.0,8,2481351.5
2016-09-30,Z5BR,19762495.0,8,2470311.88
2016-08-31,Z5BR,19716629.0,8,2464578.62
2016-07-31,Z5BR,19810590.0,8,2476323.75
2016-06-30,Z5BR,19861624.0,8,2482703.0
2016-05-31,Z5BR,19954368.0,8,2494296.0
2016-04-30,Z5BR,19897701.0,8,2487212.62
2016-03-31,Z5BR,20048362.0,8,2506045.25
2016-02-29,Z5BR,20046775.0,8,2505846.88
2016-01-31,Z5BR,19986511.0,8,2498313.88
2015-12-31,Z5BR,19738201.0,8,2467275.12
2015-11-30,Z5BR,19619301.0,8,2452412.62
2015-10-31,Z5BR,19506741.0,8,2438342.62
2015-09-30,Z5BR,19360981.0,8,2420122.62
2015-08-31,Z5BR,19166630.0,8,2395828.75
2015-07-31,Z5BR,18896977.0,8,2362122.12
