region_id,region_type,region
97559,zip,94104; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
97563,zip,94108
97566,zip,94111; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
97587,zip,94133
